"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"IDEA","10.65","11.05","10.65","10.75","10.85","0.93","20,71,90,392","2,25,00,87,657.12","07-Jul-2023"
"IOB","39.10","41.50","38.05","38.40","41.10","7.03","14,84,85,987","5,93,79,54,620.13","30-Jun-2023"
"PNB","71.80","74.15","70.90","69.85","73.20","4.80","9,75,82,651","7,10,20,65,339.78","23-Jun-2023"
"JPPOWER","8.95","9.40","8.85","8.90","9.30","4.49","9,56,36,281","87,79,41,059.58","22-Sep-2023"
"JPASSOCIAT","11.85","13.60","11.75","11.65","13.25","13.73","9,36,35,810","1,21,63,29,171.90","27-Sep-2023"
"SUZLON","32.00","32.90","31.95","31.40","32.35","3.03","8,05,29,369","2,60,67,35,674.53","20-Sep-2023"
"YESBANK","15.95","16.15","15.90","15.90","16.00","0.63","7,43,36,446","1,19,16,13,229.38","03-Jun-2019"
"IRFC","71.40","73.15","70.45","70.20","71.90","2.42","7,11,17,911","5,12,40,45,487.55","15-Sep-2023"
"MAHABANK","41.65","43.60","41.25","41.30","42.60","3.15","5,76,53,831","2,45,20,17,432.43","23-May-2023"
"CENTRALBK","44.10","45.60","43.15","43.85","44.50","1.48","5,03,21,677","2,24,58,56,444.51","23-Jun-2023"
"ZOMATO","107.35","109.25","105.05","106.45","105.45","-0.94","4,37,38,547","4,67,78,37,601.65",
"UCOBANK","36.80","38.45","36.35","36.50","38.20","4.66","4,14,23,980","1,55,91,98,607.20","08-Jun-2023"
"RTNPOWER","7.10","7.30","7.05","7.00","7.15","2.14","3,65,73,086","26,11,31,834.04","22-Sep-2023"
"MMTC","52.60","56.60","51.85","54.55","51.85","-4.95","3,63,08,608","1,95,59,44,712.96","01-Dec-2022"
"SOUTHBANK","24.00","24.95","24.00","23.75","24.30","2.32","3,59,02,653","87,81,78,892.38","17-Aug-2023"
"HCC","25.35","25.90","24.95","25.15","25.45","1.19","3,47,37,952","88,44,28,257.92","23-Aug-2023"
"IFCI","22.30","22.70","21.90","22.15","22.00","-0.68","3,35,25,861","74,56,15,148.64","14-Dec-2022"
"RPOWER","16.60","16.95","16.55","16.50","16.85","2.12","3,33,25,399","55,68,67,417.29","12-Sep-2018"
"NBCC","64.50","65.60","63.50","63.80","64.30","0.78","3,24,46,451","2,09,24,71,624.99","01-Sep-2023"
"UNIONBANK","96.15","101.65","96.00","94.75","99.95","5.49","3,23,10,058","3,21,77,58,676.22","28-Jul-2023"
